ticker,price,sma50,sma150,sma200,high_52w,low_52w,return_3m,return_6m,return_9m,return_12m,k_ratio,rs_rating,stage2,gates_passed,g1_price_above_150_200,g2_sma150_above_sma200,g3_sma200_trending_up,g4_sma50_above_150_200,g5_price_above_sma50,g6_30pct_above_52w_low,g7_within_25pct_of_52w_high,g8_rs_rating_ge_70,name,sector,country,currency,index,dist_from_high,rank_rs,rank_prox,rank_1yr,rank_k,composite,rank_overall
DINO,105.41000366210938,88.26090026855469,70.68022847493489,65.23237218856812,106.1500015258789,45.10773849487305,0.4765373940792308,0.8876530619285272,1.0729826798825948,1.0980983966432976,30.06626905822027,95.4,True,8,True,True,True,True,True,True,True,True,HF Sinclair Corporation,Energy,US,USD,US $1bn+,0.006971246850044774,0.8738839285714286,0.7946428571428571,0.7834821428571429,0.5625,0.7536272321428571,41
PBF,74.33999633789062,63.883864669799806,48.45796646118164,44.043999404907225,75.4800033569336,25.642627716064453,0.7491763844209558,0.7304705426037192,1.232436465411801,1.6899999509975077,27.32356755206247,96.9,True,8,True,True,True,True,True,True,True,True,PBF Energy Inc.,Energy,US,USD,US $1bn+,0.015103430953123397,0.9252232142857143,0.6986607142857143,0.8928571428571429,0.4799107142857143,0.7491629464285715,42
MU,1016.5900268554688,938.2628747558593,710.1470172119141,606.3747428131104,1213.3734130859375,131.17965698242188,0.17677616899477555,1.7464680005886768,3.3450115539592593,7.196321750615617,59.23986367397485,98.7,True,8,True,True,True,True,True,True,True,True,"Micron Technology, Inc.",Technology,US,USD,US $1bn+,0.1621787523182952,0.9877232142857143,0.03794642857142857,0.9933035714285714,0.96875,0.7469308035714286,43
BWLP,24.860000610351562,21.661400070190428,19.045163205464682,17.35591598033905,24.860000610351562,11.16360092163086,0.2512631385125581,0.5620813729364711,1.1272753312493853,0.7579859327945142,32.53355812747866,92.4,True,8,True,True,True,True,True,True,True,True,BW LPG Limited,Consumer Discretionary,US,USD,US $1bn+,0.0,0.7645089285714286,0.9375,0.640625,0.6227678571428571,0.7413504464285715,44
CDNA,50.880001068115234,40.712200012207035,27.03296661376953,25.063624935150145,52.36000061035156,13.329999923706055,1.2867416210388871,1.8440471103400689,1.699204246071646,2.8839694340838533,27.378440047556875,98.4,True,8,True,True,True,True,True,True,True,True,"CareDx, Inc.",Health Care,US,USD,US $1bn+,0.028265842723151774,0.9743303571428571,0.53125,0.9598214285714286,0.48660714285714285,0.7380022321428571,45
AAMI,93.58000183105469,85.98800003051758,70.3022194925944,64.92353645324707,97.30999755859375,41.78427505493164,0.266224245355428,0.8344526229304821,1.0817194658143627,1.2043140204316178,43.60683708601888,94.7,True,8,True,True,True,True,True,True,True,True,Acadian Asset Management Inc.,Finance,US,USD,US $1bn+,0.03833106382818581,0.8459821428571429,0.43080357142857145,0.8125,0.8459821428571429,0.7338169642857143,46
TNK,93.37000274658203,78.75599990844727,74.64601036071777,70.0853364944458,93.37000274658203,47.8762092590332,0.2932133891018849,0.3216335296961663,0.6703616819231377,0.8764409637253712,31.960582670060816,90.0,True,8,True,True,True,True,True,True,True,True,Teekay Tankers Ltd.,Consumer Discretionary,US,USD,US $1bn+,0.0,0.6741071428571429,0.9375,0.7075892857142857,0.6138392857142857,0.7332589285714285,47
AVNS,24.989999771118164,24.90219985961914,18.835466575622558,16.985449924468995,25.049999237060547,9.890000343322754,0.013381992122789343,0.9090908693517201,1.1124260297788235,1.1035353140056947,27.93570251250573,93.2,True,8,True,True,True,True,True,True,True,True,"Avanos Medical, Inc.",Health Care,US,USD,US $1bn+,0.002395188334122415,0.7879464285714286,0.8504464285714286,0.7857142857142857,0.5022321428571429,0.7315848214285714,48
TWST,124.72000122070312,110.91740005493165,74.79880002339681,64.75410002708435,153.10000610351562,24.15999984741211,0.8017913756320538,1.6570090513325475,3.001283314579064,3.866172661122034,55.27354728021992,98.6,True,8,True,True,True,True,True,True,True,True,Twist Bioscience Corporation,Health Care,US,USD,US $1bn+,0.18536906434624115,0.9832589285714286,0.015625,0.9776785714285714,0.9419642857142857,0.7296316964285714,49
PLSE,53.2400016784668,37.959700050354,27.437633323669434,24.0811749792099,54.709999084472656,12.65999984741211,1.1018555798983676,1.934950577167501,2.9466273225928914,2.5095584318199564,24.57717719249061,98.5,True,8,True,True,True,True,True,True,True,True,"Pulse Biosciences, Inc.",Health Care,US,USD,US $1bn+,0.02686889838430032,0.9787946428571429,0.5535714285714286,0.953125,0.41964285714285715,0.7262834821428572,50
